Loading PyTorch model from ../data/ultralitics/yolo26l.pt...
Extracted 1092 tensors.
Initializing GGUF writer for architecture 'yolo'...
Writing tensors...
  Added tensor: model.0.conv.weight | shape: (64, 3, 3, 3) | dtype: float16
  Added tensor: model.0.bn.weight | shape: (64,) | dtype: float16
  Added tensor: model.0.bn.bias | shape: (64,) | dtype: float16
  Added tensor: model.0.bn.running_mean | shape: (64,) | dtype: float16
  Added tensor: model.0.bn.running_var | shape: (64,) | dtype: float16
  Added tensor: model.0.bn.num_batches_tracked | shape: () | dtype: int64
  Added tensor: model.1.conv.weight | shape: (128, 64, 3, 3) | dtype: float16
  Added tensor: model.1.bn.weight | shape: (128,) | dtype: float16
  Added tensor: model.1.bn.bias | shape: (128,) | dtype: float16
  Added tensor: model.1.bn.running_mean | shape: (128,) | dtype: float16
  Added tensor: model.1.bn.running_var | shape: (128,) | dtype: float16
  Added tensor: model.1.bn.num_batches_tracked | shape: () | dtype: int64
  Added tensor: model.2.cv1.conv.weight | shape: (128, 128, 1, 1) | dtype: float16
  Added tensor: model.2.cv1.bn.weight | shape: (128,) | dtype: float16
  Added tensor: model.2.cv1.bn.bias | shape: (128,) | dtype: float16
  Added tensor: model.2.cv1.bn.running_mean | shape: (128,) | dtype: float16
  Added tensor: model.2.cv1.bn.running_var | shape: (128,) | dtype: float16
  Added tensor: model.2.cv1.bn.num_batches_tracked | shape: () | dtype: int64
  Added tensor: model.2.cv2.conv.weight | shape: (256, 256, 1, 1) | dtype: float16
  Added tensor: model.2.cv2.bn.weight | shape: (256,) | dtype: float16
  Added tensor: model.2.cv2.bn.bias | shape: (256,) | dtype: float16
  Added tensor: model.2.cv2.bn.running_mean | shape: (256,) | dtype: float16
  Added tensor: model.2.cv2.bn.running_var | shape: (256,) | dtype: float16
  Added tensor: model.2.cv2.bn.num_batches_tracked | shape: () | dtype: int64
  Added tensor: model.2.m.0.cv1.conv.weight | shape: (32, 64, 1, 1) | dtype: float16
  Added tensor: model.2.m.0.cv1.bn.weight | shape: (32,) | dtype: float16
  Added tensor: model.2.m.0.cv1.bn.bias | shape: (32,) | dtype: float16
  Added tensor: model.2.m.0.cv1.bn.running_mean | shape: (32,) | dtype: float16
  Added tensor: model.2.m.0.cv1.bn.running_var | shape: (32,) | dtype: float16
  Added tensor: model.2.m.0.cv1.bn.num_batches_tracked | shape: () | dtype: int64
  Added tensor: model.2.m.0.cv2.conv.weight | shape: (32, 64, 1, 1) | dtype: float16
  Added tensor: model.2.m.0.cv2.bn.weight | shape: (32,) | dtype: float16
  Added tensor: model.2.m.0.cv2.bn.bias | shape: (32,) | dtype: float16
  Added tensor: model.2.m.0.cv2.bn.running_mean | shape: (32,) | dtype: float16
  Added tensor: model.2.m.0.cv2.bn.running_var | shape: (32,) | dtype: float16
  Added tensor: model.2.m.0.cv2.bn.num_batches_tracked | shape: () | dtype: int64
  Added tensor: model.2.m.0.cv3.conv.weight | shape: (64, 64, 1, 1) | dtype: float16
  Added tensor: model.2.m.0.cv3.bn.weight | shape: (64,) | dtype: float16
  Added tensor: model.2.m.0.cv3.bn.bias | shape: (64,) | dtype: float16
  Added tensor: model.2.m.0.cv3.bn.running_mean | shape: (64,) | dtype: float16
  Added tensor: model.2.m.0.cv3.bn.running_var | shape: (64,) | dtype: float16
  Added tensor: model.2.m.0.cv3.bn.num_batches_tracked | shape: () | dtype: int64
  Added tensor: model.2.m.0.m.0.cv1.conv.weight | shape: (32, 32, 3, 3) | dtype: float16
  Added tensor: model.2.m.0.m.0.cv1.bn.weight | shape: (32,) | dtype: float16
